,Unnamed: 0,날짜,기사제목
295,6, 2021.08.24 12:57,"넷마블, '마블 퓨처 레볼루션' 사전 다운로드 시작"
296,7, 2021.08.23 12:29,"넷마블·엔씨, 야심작 ‘마퓨레’·‘블소2’ 출격…경쟁 불꽃"
297,8, 2021.08.22 08:30,"넷마블, 스튜디오드래곤과 게임·드라마 같이 만든다"
298,9, 2021.08.20 11:36,넷마블 제2의나라 신규에피소드 '황금수염과 보물섬' 추가
299,10, 2021.08.20 10:01,"넷마블-스튜디오드래곤, 슈퍼IP로 게임-드라마 만든다"
300,11, 2021.08.20 09:50,"넷마블·스튜디오 드래곤, 슈퍼 IP 함께 만든다"
301,12, 2021.08.20 09:50,"넷마블, 스튜디오드래곤과 IP 공동개발 MOU"
302,13, 2021.08.20 09:26,"넷마블?스튜디오드래곤, 지식재산권 공동개발 협약 체결"
303,14, 2021.08.20 09:39,"넷마블, 스튜디오드래곤과 맞손…원천 IP 공동 개발 나선다"
304,0, 2021.08.20 10:01,"넷마블-스튜디오드래곤, 슈퍼IP로 게임-드라마 만든다"
305,1, 2021.08.20 09:50,"넷마블·스튜디오 드래곤, 슈퍼 IP 함께 만든다"
306,2, 2021.08.20 09:50,"넷마블, 스튜디오드래곤과 IP 공동개발 MOU"
307,3, 2021.08.20 09:26,"넷마블?스튜디오드래곤, 지식재산권 공동개발 협약 체결"
308,4, 2021.08.20 09:39,"넷마블, 스튜디오드래곤과 맞손…원천 IP 공동 개발 나선다"
309,5, 2021.08.19 16:35,"넷마블, ‘블레이드&소울’ 온라인 대회 참가자 모집"
310,6, 2021.08.17 14:37,"넷마블에프앤씨, 자체 IP 웹소설 카카오페이지 출시…게임화도 모색"
311,7, 2021.08.17 14:02,"넷마블에프앤씨, ‘현재 멸망 n% 진행 중’ 카카오페이지서 공개"
312,8, 2021.08.17 08:53,"'스핀엑스 인수' 호재 맞나?…넷마블, 주가 전망 엇갈려"
313,9, 2021.08.13 18:00,'투자의 귀재' 넷마블···6년간 평가차익만 4兆
314,10, 2021.08.13 16:02,"넷마블, ‘A3: 스틸얼라이브’ PC베타서비스 실시"
315,11, 2021.08.13 13:26,[CEO UP | 이승원 넷마블 대표] 소셜 카지노 인수…‘글로벌통’의...
316,12, 2021.08.13 09:35,"카카오게임즈 5.7% 급락...""넷마블 보유 주식 처분"""
317,13, 2021.08.12 18:18,"넷마블, 카겜 주식 2500억원치 전량 매도…투자수익 370%"
318,0, 2021.08.13 16:02,"넷마블, ‘A3: 스틸얼라이브’ PC베타서비스 실시"
319,1, 2021.08.13 13:26,[CEO UP | 이승원 넷마블 대표] 소셜 카지노 인수…‘글로벌통’의...
320,2, 2021.08.13 09:35,"카카오게임즈 5.7% 급락...""넷마블 보유 주식 처분"""
321,3, 2021.08.12 18:18,"넷마블, 카겜 주식 2500억원치 전량 매도…투자수익 370%"
322,4, 2021.08.12 17:38,"넷마블, 카카오게임주 주식 322만주 처분 결정"
323,5, 2021.08.12 09:26,[특징주] ‘어닝쇼크’ 넷마블 주가 ‘뚝뚝’
324,6, 2021.08.12 09:26,"신한금투 ""넷마블, 대작 출시·소셜카지노 인수…실적 개선 기대"""
325,7, 2021.08.12 09:11,"KB증권 “넷마블, 하반기 실적 개선 전망…밸류에이션 부담은 여전”"
326,8, 2021.08.12 08:07,"[클릭 e종목] “넷마블, 부진한 상반기…신작에 거는 기대”"
327,9, 2021.08.12 07:51,"넷마블, 스핀엑스 실적 발판…신작 흥행 주가 변수-KB"
328,10, 2021.08.12 07:44,"넷마블, 마케팅·인건비 증가에 2Q 어닝쇼크-KB"
329,11, 2021.08.11 18:07,"[종합] 넷마블, 하반기 반등 모색…신작 출시에 4분기 M&A 효과 반..."
330,12, 2021.08.11 17:15,"넷마블 2분기 영업익, 전년比 80%↓…‘제2의나라’ 마케팅 부담"
331,13, 2021.08.11 16:40,"인건비 등 영업비용 '발목'…넷마블, 2분기 영업익 80%↓"
332,14, 2021.08.11 18:03,"넷마블, ‘스핀엑스’ 최소 7000억원 연매출 전망"
333,0, 2021.08.12 07:44,"넷마블, 마케팅·인건비 증가에 2Q 어닝쇼크-KB"
334,1, 2021.08.11 18:07,"[종합] 넷마블, 하반기 반등 모색…신작 출시에 4분기 M&A 효과 반..."
