,Unnamed: 0,날짜,기사제목
12457,1, 2022.01.11 15:50,"""119만원짜리가 40분만에 완판""···난리난 삼성 포터블 스크린"
12458,2, 2022.01.11 15:44,"삼성 '더 프리스타일', 예약판매 첫날 1시간 만에 조기 종료"
12459,3, 2022.01.11 11:21,"삼성전자, 포터블 스크린 '더 프리스타일' 예약 판매"
12460,4, 2022.01.11 15:48,“너무 똑같죠?” 삼성 베낀 중국 “우리가 한수 위” 적반하장
12461,5, 2022.01.11 10:22,"""삼성폰 베끼는 것도 지긋""…중국 아너, 갤폴드 똑 닮은 폴더블폰 공..."
12462,6, 2022.01.11 15:40,이것도 팔릴까 했던 119만원짜리 삼성 혁신 스크린…40분만에 완판
12463,7, 2022.01.11 11:00,"삼성전자, 포터블 스크린 '더 프리스타일' 예약 판매"
12464,8, 2022.01.11 15:29,"삼성 준법위, '대기업 준법경영' 주제로 토론회 연다"
12465,9, 2022.01.11 14:24,"삼성, 폴더블폰 상승세 이어갈까…다음달 '노트 품은 갤S22' 출격"
12466,10, 2022.01.11 14:17,‘美 CES 참석’ 삼성전자 임직원 20여명 코로나 확진···전세기로 ...
12467,11, 2022.01.11 13:35,삼성전자 CES 출장자 20여명 확진…전세기로 귀국 후 격리
12468,12, 2022.01.11 11:54,삼성전자 CES 출장자 20여명 확진…현지서 회사 전세기로 귀국
12469,13, 2022.01.11 14:11,삼성전자 '비상'…美 CES 출장자 20여명 현지서 확진 판정
12470,14, 2022.01.11 13:56,"""119만원짜리 40분만에 동났다""…불티나게 팔리는 삼성의 혁신 스크린"
12471,15, 2022.01.11 13:37,'삼성전자 메타버스' 사칭 코인사기 유포..투자자 주의해야
12472,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12473,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12474,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12475,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12476,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12477,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12478,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12479,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12480,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12481,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12482,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12483,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12484,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12485,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12486,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12487,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12488,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12489,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12490,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12491,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12492,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12493,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12494,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12495,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12496,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12497,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12498,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12499,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12500,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12501,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12502,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12503,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12504,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12505,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12506,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12507,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12508,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12509,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12510,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12511,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12512,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12513,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12514,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12515,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12516,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12517,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12518,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12519,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12520,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12521,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12522,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12523,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12524,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12525,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12526,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12527,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12528,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12529,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12530,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12531,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12532,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12533,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12534,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12535,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12536,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12537,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
