,Unnamed: 0,날짜,기사제목
497,8, 2021.07.21 09:55,"[특징주]카카오게임즈, '오딘' 흥행에 신고가 경신"
498,9, 2021.07.21 09:46,"""10만원 가즈아~""…9만원 돌파 카카오게임즈 주가 질주 어디까지"
499,10, 2021.07.21 09:39,"[특징주]카카오게임즈, ""12만원 간다"" 전망에 9%대 강세"
500,11, 2021.07.21 09:16,"카카오게임즈, 12만원 간다는 증권사 전망에 5.72% 급등"
501,12, 2021.07.21 08:43,"""카카오게임즈, 대형 게임사 발돋움""…목표가 12만원-NH"
502,13, 2021.07.21 08:36,"NH證 ""카카오게임즈, 주가 12만 원까지 오를 수 있다"""
503,14, 2021.07.21 08:28,"NH투자증권 “카카오게임즈, 오딘 성공으로 대형사 발돋움…12만원 간..."
504,15, 2021.07.21 08:04,"카카오게임즈, '오딘' 성공…퍼블리싱·투자능력 기대감"
505,16, 2021.07.21 07:56,“카카오게임즈 12만원 간다…오딘 성공 발판”-NH
506,17, 2021.07.21 09:35,[특징주]'오딘'의 진격...카카오게임즈 사상 첫 9만원대
507,18, 2021.07.20 17:21,"""돈 벌수 밖에 없는 상황""…카카오게임즈 넷마블 게임株 ETF '쑥'"
508,19, 2021.07.20 15:17,"카카오게임즈, 모바일 이어 PC게임서도 성과낸다"
509,0, 2021.07.21 09:39,"[특징주]카카오게임즈, ""12만원 간다"" 전망에 9%대 강세"
510,1, 2021.07.21 09:16,"카카오게임즈, 12만원 간다는 증권사 전망에 5.72% 급등"
511,2, 2021.07.21 08:43,"""카카오게임즈, 대형 게임사 발돋움""…목표가 12만원-NH"
512,3, 2021.07.21 08:36,"NH證 ""카카오게임즈, 주가 12만 원까지 오를 수 있다"""
513,4, 2021.07.21 08:28,"NH투자증권 “카카오게임즈, 오딘 성공으로 대형사 발돋움…12만원 간..."
514,5, 2021.07.21 08:04,"카카오게임즈, '오딘' 성공…퍼블리싱·투자능력 기대감"
515,6, 2021.07.21 07:56,“카카오게임즈 12만원 간다…오딘 성공 발판”-NH
516,7, 2021.07.21 09:35,[특징주]'오딘'의 진격...카카오게임즈 사상 첫 9만원대
517,8, 2021.07.20 17:21,"""돈 벌수 밖에 없는 상황""…카카오게임즈 넷마블 게임株 ETF '쑥'"
518,9, 2021.07.20 15:17,"카카오게임즈, 모바일 이어 PC게임서도 성과낸다"
519,10, 2021.07.20 09:00,"이베스트증권 “카카오게임즈, 오딘 개발사 연결 편입 가능성 있어···목..."
520,11, 2021.07.20 08:54,"이베스트證 ""카카오게임즈, 숨은가치 집중해야…목표가 10.5%↑"""
521,12, 2021.07.20 08:48,"카카오게임즈, '오딘' 개발사 편입 전망...목표가 10.5만"
522,13, 2021.07.20 08:26,"카카오게임즈, '리니지' 제친 '오딘' 개발사 편입 기대↑-이베스트"
523,14, 2021.07.20 08:06,"카카오게임즈, 숨은 모멘텀 가시화…목표가↑"
