,Unnamed: 0,날짜,기사제목
84,7, 2021.10.07 09:37,카카오 임원 제도 첫 도입···C레벨 10명 미등기임원 발령
85,8, 2021.10.07 11:23,[증시이슈] 카카오 5% 상승…지속적 상승 여부는 미지수
86,9, 2021.10.07 11:18,“카카오 CTO 바뀌었다” 신정환→정의정이 기술총괄
87,10, 2021.10.07 11:12,오랜만에 5% 뛴 네이버·카카오…본격 반등? 전문가들은…
88,11, 2021.10.07 10:41,[특징주]미국 기술주 상승에 네이버·카카오 강세
89,0, 2021.10.07 10:24,"[2021 국감]카카오뱅크, 카카오에 지난 5년간 브랜드사용료 82억원..."
90,1, 2021.10.07 10:22,"카카오, 미등기 임원7人 지분 공시…첫 임원 직급 도입"
91,2, 2021.10.07 09:37,카카오 임원 제도 첫 도입···C레벨 10명 미등기임원 발령
92,3, 2021.10.07 09:53,"카카오 임직원, 골프장 개발 땅투기에 '가짜 농부' 행세 의혹"
93,4, 2021.10.07 09:19,"[특징주] 카카오·네이버 바닥쳤나?···이틀연속 강세, 장초반 3%대 ..."
94,5, 2021.10.07 09:17,"네이버·카카오, 증시 반등 속 동반 상승"
95,6, 2021.10.07 09:01,"한화투자증권 “네이버·카카오, 단기 주가 반등 가능성 아직 낮아”"
96,7, 2021.10.07 08:36,"""네이버·카카오, 당분간 주가 불확실성 확대…반등 가능성 낮아"""
97,8, 2021.10.07 08:10,"창업자까지 나섰지만…카카오·엔씨, 바닥이 안 보인다"
98,9, 2021.10.06 20:58,"""고개 숙인 김범수 효과인가""...하락장에서도 카카오 반등 성공"
99,10, 2021.10.06 13:12,"김범수 사과 통했나…카카오 장중 4% 올랐다, 향후 전망은 ?"
100,11, 2021.10.06 16:13,[마감시황] 코스피 상위 20개 기업 중 카카오·네이버·현대차만 상승
101,12, 2021.10.06 16:07,코스피 약세장에도 카카오·네이버 주가는 반등했다
102,0, 2021.10.06 16:13,[마감시황] 코스피 상위 20개 기업 중 카카오·네이버·현대차만 상승
103,1, 2021.10.06 16:07,코스피 약세장에도 카카오·네이버 주가는 반등했다
104,2, 2021.10.06 15:02,"뉴욕 증시 이어 국내도 빅테크 강세…네이버·카카오, 코스피 부진 속 약..."
105,3, 2021.10.06 15:00,김범수 의장 국감 사과에 카카오 3% 가까이 '껑충'
106,4, 2021.10.06 14:25,카카오택시 대구 가맹점협의회 “택시업계 강압적 태도 우려”
107,5, 2021.10.06 13:40,"보험사 CEO들, 네이버·카카오 보험업 진출에 ""걱정 없다"""
108,6, 2021.10.06 13:12,"김범수 사과 통했나…카카오 장중 4% 올랐다, 향후 전망은 ?"
109,7, 2021.10.06 11:36,대표 성장주 카카오·네이버·엔씨… 고점 대비 얼마나 하락했나
110,8, 2021.10.06 10:41,"[특징주]카카오, 외인·기관 매수세에 강세"
111,9, 2021.10.06 10:02,"회사 속 회사, 카카오·네이버 CIC 보면 돈이 보인다"
112,0, 2021.10.06 09:19,"""지금 사? 말어?""…카카오 '3형제' 한 달간 30조 증발"
113,1, 2021.10.06 08:29,"카카오, 플랫폼 사업 규제 부담 지속-이베스트"
114,2, 2021.10.05 19:36,"진땀 뺀 카카오…택시 수수료 인하 질문에 ""즉답 어렵다"""
115,3, 2021.10.05 19:26,카카오 154만 개미주주 어쩌나…김범수 사과에도 주가 또 떨어졌다
116,4, 2021.10.05 19:17,"카카오모빌리티, 대리 업체 추가 인수 철회한다"
117,5, 2021.10.05 11:31,"""카카오모빌리티, 대리운전업체 인수 포기 의사"""
118,6, 2021.10.05 11:19,[국감 2021] “카카오모빌리티 대리운전 인수철회” 조승래 의원
119,7, 2021.10.05 19:17,플랫폼 국감이라지만…카카오모빌리티가 억울해하는 이유 [2021 국감]
120,8, 2021.10.05 19:07,"죄송 죄송 죄송…카카오 김범수, 3년만의 국감 등판 '진땀' [종합]"
121,9, 2021.10.05 18:59,카카오 김범수 “골목상권 관여 사업 반드시 철수”(종합)
122,10, 2021.10.05 18:49,"카카오 김범수, 동생 퇴직금 14억원 논란에 ""제 생각에도 많아"""
123,11, 2021.10.05 17:32,"동생 퇴직금 14억…카카오 김범수 ""제가 생각해도 많아"""
124,12, 2021.10.05 18:36,“새로운 카카오로 거듭날 것”…3시간 질타에도 상생 의지 드러낸 김범수
125,13, 2021.10.05 18:24,"웹툰 불공정 계약 지적 받은 카카오 김범수 ""개선하겠다"""
126,0, 2021.10.05 18:24,"웹툰 불공정 계약 지적 받은 카카오 김범수 ""개선하겠다"""
127,1, 2021.10.05 18:11,"김범수 ""카카오 주가 하락 안타까워…주주들께 죄송"""
128,2, 2021.10.05 18:10,"카카오 김범수 ""골목상권 침해 재발방지 약속···혁신에 역량 집중하겠다..."
129,3, 2021.10.05 17:43,"""`내돈내맘` 돈놀이""·""동생 14억 퇴직금""…카카오에 쏟아진 질타(종..."
130,4, 2021.10.05 17:32,"동생 퇴직금 14억…카카오 김범수 ""제가 생각해도 많아"""
131,5, 2021.10.05 16:49,"윤창현 의원 ""카카오, 케이큐브홀딩스로 금산분리 위반"""
132,6, 2021.10.05 15:37,"카카오 김범수, ‘가족회사로 돈놀이’ 지적에 “죄송하다…사회적 책임 ..."
133,7, 2021.10.05 15:27,"카카오 김범수, '가족회사로 돈놀이' 지적에 ""죄송하다"""
134,8, 2021.10.05 16:48,안갯속 ‘카카오’ 주가…장기 성장성 여전하지만 국감이 고비
135,9, 2021.10.05 15:59,"JB금융, 카카오·네이버 손잡고 맞춤 서비스"
136,10, 2021.10.05 15:05,"국내 총수 주식재산 1위 삼성 이재용, 2위는 카카오 김범수"
137,11, 2021.10.05 11:48,카카오 우수수 떨어지더라니…김범수 3분기 2조6천억 주식재산 줄었다
138,12, 2021.10.05 11:59,"카카오, 내년 금융복합그룹 지정되나"
139,13, 2021.10.05 10:24,"[단독] 금융위, 카카오 금융복합그룹 지정 검토 돌입"
140,0, 2021.10.05 15:05,"국내 총수 주식재산 1위 삼성 이재용, 2위는 카카오 김범수"
141,1, 2021.10.05 11:48,카카오 우수수 떨어지더라니…김범수 3분기 2조6천억 주식재산 줄었다
142,2, 2021.10.05 11:59,"카카오, 내년 금융복합그룹 지정되나"
143,3, 2021.10.05 10:24,"[단독] 금융위, 카카오 금융복합그룹 지정 검토 돌입"
144,4, 2021.10.05 11:31,"""카카오모빌리티, 대리운전업체 인수 포기 의사"""
145,5, 2021.10.05 11:19,[국감 2021] “카카오모빌리티 대리운전 인수철회” 조승래 의원
146,6, 2021.10.05 07:51,"[클릭 e종목]""카카오, 스크린골프 철수 가능성…골프존 목표주가↑"""
147,7, 2021.10.05 06:01,브레이크 걸린 카카오…10년 만에 성장 방식 유턴?
148,8, 2021.10.04 14:10,"[단독]카카오, 헤어샵 접는다...스크린골프 철수는 난항"
149,9, 2021.10.04 06:01,‘혁신의 아이콘’ 카카오가 위기에 빠진 이유 [강함수의 레드 티밍]
150,10, 2021.10.03 18:03,"카카오 김범수, 네이버 한성숙, 삼성 노태문 국감장에 선다"
151,11, 2021.10.02 06:31,"""삼성전자·카카오 말고 이것 사라""…증권맨이 콕 찝은 종목 [박의명의 ..."
152,12, 2021.10.01 15:38,카카오-가맹택시 ‘윈윈 모델’ 가능할까… 상생 MOU 체결
153,13, 2021.10.01 14:04,"카카오모빌리티-가맹점협의회, 상생협력 MOU 체결"
154,14, 2021.10.01 12:04,"카카오택시 가맹점협의회, KM솔루션과 상생협약 체결"
155,0, 2022.01.20 08:21,"SK증권 “카카오, 상장 자회사 주가 하락에 목표가 하향”"
156,1, 2022.01.20 08:12,"""카카오, 주요 자회사 주가 하락에 목표가↓""-SK"
157,2, 2022.01.20 08:05,"카카오 목표주가 하향…""올해 성장 계속, 주가는 반등""-SK"
158,3, 2022.01.20 07:58,"카카오, 주가 반등 전망…성장기조 변화 없다-SK"
159,4, 2022.01.20 07:57,"카카오, 악재가 반영된 대표 성장주…“올해 반등할 것”-SK"
