,Unnamed: 0,날짜,기사제목
119,16, 2021.08.10 17:49,KT 2분기 영업익 39% 늘어 4758억원
120,0, 2021.08.11 07:17,"케이뱅크 첫 흑자, KT도 ""가상자산 탓"" 인정…질적 성장 과제는"
121,1, 2021.08.10 20:23,"2분기 호실적 낸 KT, 하반기 5G·케이뱅크 기대 ↑(종합)"
122,2, 2021.08.10 19:09,"5G·미디어가 이끈 KT 깜짝실적, 하반기도 성장 예고"
123,3, 2021.08.10 18:29,"KT, 영업익 39% 증가 ‘깜짝 실적’… ‘디지코 전략’ 먹혔다"
124,4, 2021.08.10 17:44,"""신사업·무선 쌍끌이"" KT, 2분기 영업익 4,758억으로 37분기..."
125,5, 2021.08.10 11:55,"'디지코 전환' 효과…KT, 2Q '어닝 서프라이즈'(상보)"
126,6, 2021.08.10 17:49,KT 2분기 영업익 39% 늘어 4758억원
127,7, 2021.08.10 16:51,"[컨콜]KT ""5G 단독모드, AR·자율주행차 기술서 진가 발휘"""
128,8, 2021.08.10 16:04,"[컨콜] KT ""5G 단독모드 차별점 부각될 것"""
129,9, 2021.08.10 16:28,"[컨콜]KT ""하반기, 5G 무선 가입자당매출(ARPU) 증가 기대"""
130,10, 2021.08.10 16:00,"[컨콜]KT ""하반기 AI 로봇 신사업…케이뱅크 등 IPO도 박차"""
131,11, 2021.08.10 15:41,[컨콜] 하반기 KT 알뜰폰 5G 가입자 증가 예상
132,12, 2021.08.10 15:35,"""B2B도 무선도 잡았다"" KT, 2분기 전년 동기 대비 38.5% 증..."
133,13, 2021.08.10 12:09,"'집콕'으로 IPTV '훨훨'…KT, 2Q 영업익 4758억 [종합]"
134,14, 2021.08.10 11:47,"“기업·개인 두마리 토끼 잡았다”…KT 영업이익 4758억원, 38...."
135,15, 2021.08.10 14:16,"KT, 2Q 영업이익 4,758억원...증권가 전망치 14%↑"
136,16, 2021.08.10 13:54,"KT, 2Q 영업익 47.5억원…전년比 38%↑"
137,0, 2021.08.10 15:41,[컨콜] 하반기 KT 알뜰폰 5G 가입자 증가 예상
138,1, 2021.08.10 15:35,"""B2B도 무선도 잡았다"" KT, 2분기 전년 동기 대비 38.5% 증..."
139,2, 2021.08.10 12:09,"'집콕'으로 IPTV '훨훨'…KT, 2Q 영업익 4758억 [종합]"
140,3, 2021.08.10 11:47,"“기업·개인 두마리 토끼 잡았다”…KT 영업이익 4758억원, 38...."
141,4, 2021.08.10 14:16,"KT, 2Q 영업이익 4,758억원...증권가 전망치 14%↑"
142,5, 2021.08.10 13:54,"KT, 2Q 영업익 47.5억원…전년比 38%↑"
143,6, 2021.08.10 13:46,고속질주하는 ‘카카오뱅크’...함박웃음 짓는 한투·KT
144,7, 2021.08.10 10:10,질주하는 카뱅…미소 짓는 한투·KT [株포트라이트]
145,8, 2021.08.10 12:27,"KT, 2Q 영업익 4758억원…전년비 38%↑"
146,9, 2021.08.10 11:29,"KT, 2Q 영업익 4758억원…전년比 38.5%↑"
147,10, 2021.08.10 11:55,"'디지코 전환' 효과…KT, 2Q '어닝 서프라이즈'(상보)"
148,11, 2021.08.10 11:46,"KT, 깜짝 실적..5G와 신사업이 이끌었다"
149,12, 2021.08.10 11:42,"‘디지코 통했다’…KT, 영업익 4758억…38.5% 증가"
150,13, 2021.08.10 11:37,"[속보] KT, 2분기 영업이익 4758억원…전년비 38.5% 증가"
151,14, 2021.08.10 11:31,"[속보]KT, 2분기 영업이익 4758억… 전년比 38.5%↑"
152,0, 2021.08.10 11:42,"‘디지코 통했다’…KT, 영업익 4758억…38.5% 증가"
153,1, 2021.08.10 11:37,"[속보] KT, 2분기 영업이익 4758억원…전년비 38.5% 증가"
154,2, 2021.08.10 11:31,"[속보]KT, 2분기 영업이익 4758억… 전년比 38.5%↑"
155,3, 2021.08.10 11:29,"KT, 2Q 영업익 4758억원…전년比 38.5%↑"
156,4, 2021.08.10 11:19,"KT 고객 케어 솔루션, 스타트업 AI 기술로 고도화"
157,5, 2021.08.10 10:13,"KT, 온라인 마켓 고객관리 솔루션 선보여"
158,6, 2021.08.10 09:15,"KT, TWC와 손잡고 온라인 마켓 고객관리 솔루션 선보여"
159,7, 2021.08.10 10:10,질주하는 카뱅…미소 짓는 한투·KT [株포트라이트]
160,8, 2021.08.09 11:31,"KT-서울신보, 올레 tv 광고로 전통시장 살린다"
161,9, 2021.08.09 10:27,"""시장 상인들이 직접 영상 광고 만들고 올레tv에 송출"" KT, 전통..."
162,10, 2021.08.09 11:01,"성장 날개 단 KT, 통신 대장주 넘본다…4만원 돌파 질주"
163,11, 2021.08.09 10:33,"""레트로 1인자 카세트의 복귀"" KT, 10일부터 카세트(KASSETT..."
164,12, 2021.08.09 10:18,KT 레트로 시리즈 첫 번째 프로젝트 ‘KASSETTE’ 판매 시작
165,13, 2021.08.09 09:56,"스트리밍 시대 '카세트'의 부활…KT, 'KASSETTE' 출시"
166,14, 2021.08.09 09:12,"“돌아온 추억의 카세트”…KT, 복고풍 카세트 플레이어 출시"
167,0, 2021.08.09 10:33,"""레트로 1인자 카세트의 복귀"" KT, 10일부터 카세트(KASSETT..."
168,1, 2021.08.09 10:27,"""시장 상인들이 직접 영상 광고 만들고 올레tv에 송출"" KT, 전통시..."
169,2, 2021.08.09 10:18,KT 레트로 시리즈 첫 번째 프로젝트 ‘KASSETTE’ 판매 시작
170,3, 2021.08.09 09:56,"스트리밍 시대 '카세트'의 부활…KT, 'KASSETTE' 출시"
171,4, 2021.08.09 09:12,"“돌아온 추억의 카세트”…KT, 복고풍 카세트 플레이어 출시"
172,5, 2021.08.07 18:01,"KT 구현모 대표, AICC로 디지털 전환 박차"
173,6, 2021.08.07 16:01,"KT, '헨나호텔'에 AI호텔 서비스 선보여"
174,7, 2021.08.05 15:50,"KT, 동자동 독거 세대에 '랜선 김치나눔' 행사"
175,8, 2021.08.05 09:01,"KT, 랜선 김치나눔 봉사 진행"
176,9, 2021.08.05 13:31,케이티시즌 출범…장대진 초대 CEO “최고 OTT 목표”
177,10, 2021.08.05 11:24,케이티시즌 출범…'미디어·콘텐츠 전문' 장대진 대표가 초대 대표
178,11, 2021.08.05 13:09,"""국내 최고 OTT 될 것"" KT시즌 출범…장대진 대표 선임"
179,12, 2021.08.05 11:36,KT시즌 ‘OTT 전문 법인’으로 출범…사령탑에 장대진 대표
180,13, 2021.08.04 16:17,"IBK기업은행, KT와 혁신기업 지원 MOU"
181,14, 2021.08.04 14:16,"기업은행, KT와 '디지털 신사업' 추진…메타버스·AI 뱅커 만든다"
182,15, 2021.08.04 10:14,"기업은행-KT, 디지털 신사업 협력 강화"
183,16, 2021.08.04 09:22,"기업은행, KT와 메타버스 구축…디지털 협력 박차"
184,17, 2021.08.04 09:14,"IBK기업銀, KT와 디지털 신사업 공동추진 업무협약"
185,0, 2021.08.05 11:36,KT시즌 ‘OTT 전문 법인’으로 출범…사령탑에 장대진 대표
186,1, 2021.08.05 11:24,케이티시즌 출범…'미디어·콘텐츠 전문' 장대진 대표가 초대 대표
187,2, 2021.08.05 09:01,"KT, 랜선 김치나눔 봉사 진행"
188,3, 2021.08.04 16:17,"IBK기업은행, KT와 혁신기업 지원 MOU"
